Type,Severity,StartTime(UTC),EndTime(UTC),Road/Highway,County,ZipCode
Rain,Light,11/3/2017 11:18,11/3/2017 11:38,US/Pacific McKinleyville,Humboldt,95519
Rain,Moderate,11/3/2017 11:38,11/3/2017 12:23,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/3/2017 12:23,11/3/2017 12:45,US/Pacific McKinleyville,Humboldt,95519
Rain,Moderate,11/3/2017 12:45,11/3/2017 13:05,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/3/2017 13:05,11/3/2017 13:16,US/Pacific McKinleyville,Humboldt,95519
Rain,Moderate,11/3/2017 13:16,11/3/2017 14:02,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/3/2017 14:02,11/3/2017 15:40,US/Pacific McKinleyville,Humboldt,95519
Rain,Moderate,11/3/2017 15:40,11/3/2017 16:03,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/3/2017 16:03,11/3/2017 20:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/3/2017 21:53,11/4/2017 0:53,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,11/4/2017 4:49,11/4/2017 5:19,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,11/4/2017 7:01,11/4/2017 7:13,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,11/4/2017 7:23,11/4/2017 7:43,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,11/4/2017 9:24,11/4/2017 9:41,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/5/2017 14:53,11/5/2017 16:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/5/2017 18:03,11/5/2017 18:36,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/5/2017 20:53,11/5/2017 22:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/6/2017 0:53,11/6/2017 1:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/6/2017 4:21,11/6/2017 4:31,US/Pacific McKinleyville,Humboldt,95519
Rain,Moderate,11/6/2017 4:31,11/6/2017 5:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/8/2017 16:53,11/8/2017 17:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/8/2017 19:53,11/8/2017 20:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Moderate,11/8/2017 20:53,11/8/2017 21:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/8/2017 21:53,11/8/2017 22:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Moderate,11/8/2017 22:53,11/8/2017 23:07,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/8/2017 23:07,11/8/2017 23:43,US/Pacific McKinleyville,Humboldt,95519
Rain,Moderate,11/8/2017 23:43,11/8/2017 23:53,US/Pacific McKinleyville,Humboldt,95519
Precipitation,UNK,11/8/2017 23:53,11/9/2017 0:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/9/2017 1:21,11/9/2017 3:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/9/2017 5:53,11/9/2017 6:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/9/2017 8:53,11/9/2017 9:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/9/2017 10:53,11/9/2017 12:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/9/2017 16:53,11/9/2017 17:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/9/2017 21:53,11/9/2017 23:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/10/2017 0:08,11/10/2017 2:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/10/2017 6:53,11/10/2017 12:53,US/Pacific McKinleyville,Humboldt,95519
