Direction,CountyCode,DistrictNumber,Latitude,Longitude
BOTH DIRECTIONS,HOC,10,39.413821,-82.589465
BOTH DIRECTIONS,COL,11,40.88477,-80.650871
BOTH DIRECTIONS,HUR,3,41.191659,-82.411051
WESTBOUND,NOB,10,39.66719,-81.323363
WESTBOUND,CUY,12,41.579766,-81.544013
SOUTHBOUND,LUC,2,41.686538,-83.56671
BOTH DIRECTIONS,CAR,11,40.632886,-81.187253
BOTH DIRECTIONS,LAW,9,38.558987,-82.352585
SOUTHBOUND,SCI,9,38.892462,-83.000309
BOTH DIRECTIONS,LOR,3,41.464585,-82.022092
BOTH DIRECTIONS,PRE,8,39.626194,-84.754343
SOUTHBOUND,HAM,8,39.10052,-84.504357
WESTBOUND,OTT,2,41.501486,-82.837491
BOTH DIRECTIONS,WYA,1,40.802752,-83.380404
BOTH DIRECTIONS,HAM,8,39.251926,-84.423987
NORTHBOUND,MOE,10,39.687123,-80.936855
BOTH DIRECTIONS,SUM,4,41.039295,-81.661829
BOTH DIRECTIONS,JAC,9,39.165378,-82.736575
BOTH DIRECTIONS,HAM,8,39.059596,-84.424845
BOTH DIRECTIONS,ATH,10,39.371175,-82.274721
BOTH DIRECTIONS,UNI,6,40.1196,-83.463408
BOTH DIRECTIONS,ATH,10,39.326572,-82.265795
BOTH DIRECTIONS,PIK,9,39.031852,-82.823586
WESTBOUND,MOE,10,39.807179,-81.179915
SOUTHBOUND,LUC,2,41.687262,-83.552604
BOTH DIRECTIONS,COL,11,40.686033,-80.642271
BOTH DIRECTIONS,BEL,11,39.96756,-81.178542
BOTH DIRECTIONS,CLA,7,39.853261,-83.994407
BOTH DIRECTIONS,MOT,7,39.84773,-84.425052
BOTH DIRECTIONS,CLA,7,39.87039,-83.993636
BOTH DIRECTIONS,LAW,9,38.566208,-82.759664
BOTH DIRECTIONS,LAW,9,38.551766,-82.518826
BOTH DIRECTIONS,VAN,1,40.842262,-84.349281
BOTH DIRECTIONS,CUY,12,41.579215,-81.544516
EASTBOUND,CUY,12,41.301328,-81.702072
BOTH DIRECTIONS,ATH,10,39.27819,-81.833359
BOTH DIRECTIONS,MED,3,41.047782,-81.728794
BOTH DIRECTIONS,GRE,8,39.700817,-83.99828
BOTH DIRECTIONS,PAU,1,41.120297,-84.476861
SOUTHBOUND,FRA,6,39.894208,-83.039765
BOTH DIRECTIONS,GUE,5,40.059639,-81.686226
WESTBOUND,ATH,10,39.430245,-81.863951
BOTH DIRECTIONS,SCI,9,38.952831,-83.045503
BOTH DIRECTIONS,HIG,9,39.204342,-83.737944
BOTH DIRECTIONS,SUM,4,41.303872,-81.412373
BOTH DIRECTIONS,TUS,11,40.318978,-81.311625
