Accident Ref No.,Casualty Class,Sex of Casualty
10BA0001078,Driver,Male
10BA0001297,Driver,Male
10CA0001056,Driver,Female
10CA0001056,Passenger,Female
10CA0001056,Passenger,Female
10CA0001056,Passenger,Male
10CA0001060,Pedestrian,Female
10CA0001060,Pedestrian,Female
10CA0001060,Pedestrian,Female
10CA0001595,Driver,Male
10AA0001155,Pedestrian,Male
10AA0001155,Driver,Male
10BA0001172,Passenger,Female
10CA0001181,Driver,Male
10CA0001476,Driver,Male
10CA0001476,Passenger,Female
10CA0001476,Passenger,Female
10CA0001752,Driver,Female
10CA0001752,Passenger,Male
10AA0001149,Pedestrian,Male
10BA0001190,Driver,Female
10BA0001190,Passenger,Male
10BA0001190,Passenger,Female
10BA0001335,Driver,Male
10BA0001335,Driver,Male
10CA0001175,Driver,Male
10CA0001920,Driver,Male
10AA0001209,Driver,Male
10AA0001701,Pedestrian,Male
10CA0001262,Pedestrian,Female
10CA0001329,Driver,Female
10CA0001329,Passenger,Female
10CA0001329,Passenger,Female
10CA0001329,Passenger,Female
10CA0001329,Passenger,Male
10CA0001329,Passenger,Female
10AA0001236,Driver,Male
10AA0001267,Passenger,Female
10CA0001222,Pedestrian,Male
10CA0001222,Pedestrian,Female
10CA0001271,Passenger,Female
10CA0001300,Driver,Male
10CA0001413,Pedestrian,Female
10MU0001215,Passenger,Female
10MU0001289,Driver,Male
10AA0001235,Pedestrian,Male
10AA0001446,Pedestrian,Female
10CA0001322,Driver,Male
10CA0001333,Driver,Male
10CA0001333,Passenger,Female
10BA0001326,Pedestrian,Male
10MU0001261,Driver,Male
10BA0001328,Passenger,Female
10MU0001281,Driver,Female
10MU0001361,Driver,Male
10MU0001361,Passenger,Male
10MU0001361,Passenger,Male
10MU0001361,Passenger,Male
10MU0001319,Driver,Male
10MU0001319,Driver,Female
10MU0001319,Passenger,Female
10AA0001350,Driver,Male
10AA0001531,Pedestrian,Female
10AA0002067,Pedestrian,Female
10CA0001400,Driver,Male
10AA0001362,Driver,Male
10AA0001437,Driver,Male
10BA0001375,Driver,Male
10CA0001445,Driver,Male
10CA0001458,Pedestrian,Male
10AA0001396,Pedestrian,Male
10AA0001434,Pedestrian,Male
10AA0001676,Driver,Male
10AA0082105,Driver,Female
10BA0001411,Passenger,Female
10BA0002459,Driver,Male
10CA0001408,Passenger,Female
10CA0001417,Driver,Male
10CA0001443,Passenger,Female
10CA0001443,Driver,Female
10CA0001443,Driver,Male
10AA0001397,Driver,Female
10AA0001622,Driver,Male
10CA0001452,Driver,Male
10CA0001459,Driver,Male
10CA0001459,Passenger,Female
10CA0001716,Passenger,Female
10AA0001435,Driver,Male
10AA0001435,Passenger,Female
10AA0001435,Passenger,Female
10AA0001438,Driver,Male
10AA0001532,Driver,Male
10AA0001532,Passenger,Male
10BA0001433,Pedestrian,Male
10BA0001454,Driver,Female
10BA0001454,Driver,Female
10BA0001454,Passenger,Female
10CA0001620,Driver,Female
10AA0001453,Driver,Female
10AA0001453,Passenger,Female
10AA0001453,Passenger,Male
10AA0001453,Passenger,Male
10BA0001845,Driver,Female
10BA0001845,Driver,Male
10BA0001845,Passenger,Male
10BA0001845,Passenger,Male
10BA0001845,Passenger,Male
10CA0001456,Driver,Male
10CA0001456,Pedestrian,Female
10CA0001754,Pedestrian,Male
10CA0001515,Driver,Male
10AA0001552,Driver,Male
10AA0001570,Pedestrian,Male
10AA0001577,Driver,Male
10AA0001626,Driver,Female
10AA0001638,Pedestrian,Male
10BA0001602,Driver,Female
10BA0001605,Passenger,Male
10BA0001623,Driver,Female
10BA0001625,Pedestrian,Male
10CA0001567,Passenger,Female
10CA0001709,Driver,Male
10CA0001709,Driver,Male
10AA0001548,Passenger,Female
10AA0001635,Pedestrian,Female
10BA0001535,Driver,Male
10BA0001689,Driver,Female
10BA0001689,Passenger,Female
10BA0001689,Passenger,Male
10CA0001576,Driver,Female
10CA0001576,Passenger,Male
10MU0001656,Driver,Male
10AA0001598,Driver,Male
10AA0001598,Passenger,Female
10AA0001598,Passenger,Male
10AA0001614,Driver,Male
10AA0001630,Driver,Male
10BA0001673,Pedestrian,Male
10BA0001685,Driver,Male
10CA0001596,Driver,Male
10CA0001672,Driver,Female
10CA0001758,Driver,Male
10AA0001621,Driver,Female
10AA0001694,Driver,Male
10BA0001687,Pedestrian,Female
10BA0002219,Passenger,Male
10CA0001713,Driver,Female
10BA0001702,Driver,Male
